Unnamed: 0,brand,model,price,engine,year,mileage,fuel,gearbox,location,car_age,price_per_km,brand_classification,log_price,log_mileage
390,Audi,A1,9990,1.6 TDI 90cv Attraction,2014,142359,Diésel,Manual,Badalona,11,0.07017469917602681,luxury,9.209439966733019,11.86611433962413
393,Ford,Focus,16990,1.0 Ecoboost 92kW Titanium,2019,26500,Gasolina,Manual,Hospitalet,6,0.6411320754716981,economy,9.740439071085758,10.184937747111391
394,Honda,Civic,36990,2.0 I-VTEC TURBO TYPE R S,2018,17349,Gasolina,Manual,Viladecans,7,2.1321113608853537,economy,10.518429918794682,9.761347785375005
396,Opel,Zafira Tourer,10990,1.6 CDTi S/S 120 CV Expression,2016,82650,Diésel,Manual,Sabadell 2,9,0.13297035692679976,economy,9.3048320350689,11.322382202389527
398,Audi,TT,23990,Roadster 2.0 TFSI 230CV quat S tr S line,2015,155223,Gasolina,Automatica,Viladecans,10,0.15455183832292896,luxury,10.085434038999999,11.952624513951108
400,Audi,A4,19590,2.0 TDI 110kW(150CV),2017,101567,Diésel,Manual,Viladecans,8,0.19287760788445066,luxury,9.882825556088031,11.52848380388608
401,SEAT,Alhambra,12990,2.0 TDI 140 CV Ecomotive Style,2014,163000,Diésel,Manual,Sabadell 1,11,0.07969325153374233,economy,9.472012088995733,12.001511614739405
402,Ford,Focus,18780,1.0 Ecoboost 92kW Trend+,2019,71000,Gasolina,Manual,Sabadell 1,6,0.2645070422535211,economy,9.840600999480937,11.170449240431308
403,SEAT,Ibiza,11790,1.0 MPI 59kW (80CV) Style,2018,53000,Gasolina,Manual,Sabadell 1,7,0.22245283018867926,economy,9.375091807576673,10.87806606028079
404,Audi,A7,20990,Sportback 3.0 TDI 245cv quattro S tronic,2011,137000,Diésel,Automatica,Sabadell 1,14,0.15321167883211678,luxury,9.951849053414007,11.827743504053695
405,SEAT,Leon,17490,ST 1.4 TSI 110kW ACT DSG-7 St&Sp FR,2017,47120,Gasolina,Automatica,Hospitalet,8,0.3711799660441426,economy,9.769441741907062,10.760474040511141
408,SEAT,Leon,14990,2.0 TDI 150cv St&Sp FR,2015,147978,Diésel,Manual,Mataró,10,0.1012988417197151,economy,9.615205300012315,11.904825650786753
409,Ford,Fiesta,14490,1.0 EcoBoost 70kW (95CV) ST-Line S/S 5p,2020,11920,Gasolina,Manual,Sabadell 2,5,1.2156040268456376,economy,9.581283046045924,9.386056829718001
410,Kia,ProCeed,14490,1.6 CRDi VGT 128CV Emotion Eco-Dynamics,2015,92000,Diésel,Manual,Badalona,10,0.1575,economy,9.581283046045924,11.42955472553732
411,Renault,Espace,14990,Zen Energy dCi 160 Twin Turbo EDC,2015,130165,Diésel,Automatica,Gavá,10,0.11516152575577152,economy,9.615205300012315,11.776565837941728
413,SEAT,Leon,24990,2.0 TSI 221kW (300CV) DSG-6 St&Sp CUPRA,2017,53500,Gasolina,Automatica,Gavá,8,0.46710280373831775,economy,10.126271039034782,10.887455624298196
414,SEAT,Ibiza,16990,1.5 TSI 110kW (150CV) FR,2018,92959,Gasolina,Manual,Mataró,7,0.18276874751234415,economy,9.740439071085758,11.439924572085738
418,Peugeot,108,7990,Top! Allure 1.2 PureTech 82,2015,61500,Gasolina,Manual,Mataró,10,0.12991869918699187,economy,8.986071187374462,11.026808713825016
420,Kia,Sportage,19990,1.7 CRDi VGT GT Line DCT 4x2 Eco-Dynam,2017,86600,Diésel,Automatica,Sabadell 3,8,0.23083140877598152,economy,9.903037451255743,11.369066641827967
421,Opel,Insignia,11990,1.6 CDTI S&S 88kW (120CV) Business,2017,98700,Diésel,Manual,Sabadell 3,8,0.12147922998986829,economy,9.391911647379432,11.499850357082506
422,Volkswagen,Tiguan,22490,Sport 2.0 TDI 150CV BMT 4Motion DSG,2016,141350,Diésel,Automatica,Sabadell 3,9,0.15910859568447117,economy,10.020870508171171,11.859001437734136
423,Ford,Focus,10990,1.5 TDCi E6 120cv PowerhS. Trend+,2016,125600,Diésel,Manual,Sabadell 3,9,0.0875,economy,9.3048320350689,11.740865494767979
425,Peugeot,108,8990,1.2 PureTech 60KW (82CV),2018,60000,Gasolina,Manual,Granollers,7,0.14983333333333335,economy,9.103979355984773,11.002116507732017
428,Volkswagen,Polo,9290,1.2 TSI 90cv R-Line,2013,129980,Gasolina,Manual,Sabadell 2,12,0.07147253423603632,economy,9.136801468641313,11.775143564910051
429,Ford,Focus,16490,1.0 Ecoboost 92kW ST-Line,2019,58520,Gasolina,Manual,Sabadell 2,6,0.28178400546821597,economy,9.71057005652877,10.977140943163041
430,Ford,Ka,7490,Trend+ 1.2 Duratec Auto-Start-Stop,2016,48000,Gasolina,Manual,Granollers,9,0.15604166666666666,economy,8.921457578947882,10.77897712300635
433,Toyota,Yaris,15990,1.5 Hybrid Active,2019,38255,Híbrido,Automatica,Esplugas,6,0.41798457717945364,economy,9.679781342959442,10.552055689698106
434,SEAT,Leon,8490,1.6 TDI 105cv E-Ecomotive Style,2012,169927,Diésel,Manual,Esplugas,13,0.049962631012140504,economy,9.046762057999363,12.04313009690672
435,Toyota,Land Cruiser,33990,2.8 D-4D VXL AUTO,2015,157515,Diésel,Automatica,Esplugas,10,0.21578897247881154,economy,10.43385106267516,11.96728231938977
436,Kia,Sorento,22490,2.2 CRDi 147kW (200CV) Drive Auto 4x2,2017,115601,Diésel,Automatica,Esplugas,8,0.19454849006496483,economy,10.020870508171171,11.657908536108815
437,Toyota,Yaris,14590,1.5 Hybrid Advance,2018,56935,Híbrido,Automatica,Viladecans,7,0.256257135329762,economy,9.588160179264023,10.949683108979107
439,Opel,Adam,9990,1.2 XEL JAM,2016,32806,Gasolina,Manual,Mataró,9,0.3045174663171371,economy,9.209439966733019,10.398397186236718
441,Opel,Astra,12490,1.4 Turbo S/S 92kW (125CV) Selective ST,2017,40000,Gasolina,Manual,Sabadell 3,8,0.31225,economy,9.43276366396591,10.596659732783579
442,Renault,Clio 4,11990,Zen Energy TCe 88kW (120CV),2016,56300,Gasolina,Manual,Sabadell 3,9,0.21296625222024868,economy,9.391911647379432,10.938467575959383
443,Ford,Focus,17990,1.0 Ecoboost 92kW ST-Line,2019,25543,Gasolina,Manual,Gavá,6,0.704302548643464,economy,9.79762691183662,10.148157734394617
444,Toyota,Auris,12990,Hybrid Active,2014,65989,Híbrido,Automatica,Hospitalet,11,0.19685099031656791,economy,9.472012088995733,11.097258494377467
445,SEAT,Leon,16490,1.4 TSI 92kW (125CV) St&Sp FR,2016,63910,Gasolina,Manual,Hospitalet,9,0.25801908934439055,economy,9.71057005652877,11.065246769525514
446,Volkswagen,Golf,9990,Variant Advance 1.6 TDI 105cv BMT DSG,2013,158500,Diésel,Automatica,Badalona,12,0.06302839116719243,economy,9.209439966733019,11.973516181427835
447,Peugeot,2008,16990,Allure 1.2 PureTech 81KW (110CV) Auto,2019,32550,Gasolina,Automatica,Hospitalet,6,0.5219662058371736,economy,9.740439071085758,10.39056336913101
451,Audi,A5,32490,40 TDI  140kW quattro S tronic Sportback S-LINE,2019,61800,Diésel,Automatica,Sabadell 3,6,0.5257281553398059,luxury,10.38871840689063,11.031674824544641
452,Peugeot,3008,23490,2.0BLUEHDI 133KW (180CV) GT AUTO S&S,2018,130500,Diésel,Automatica,Sabadell 3,7,0.18,economy,10.064372648053764,11.779136168550774
453,SEAT,Leon,16710,1.5 TSI 110kW (150CV) DSG-7 S&S FR Ed Pl,2019,50500,Gasolina,Manual,Sabadell 1,6,0.3308910891089109,economy,9.723822464203382,10.829748417047592
454,Toyota,Rav4,31990,2.5. Hibryd 180 CV. Automatica,2020,21000,Híbrido,Automatica,Sabadell 1,5,1.5233333333333334,economy,10.373209892223665,9.952325334619427
455,Toyota,Rav4,19990,2.5l hybrid 2WD Advance,2017,133000,Híbrido,Automatica,Sabadell 1,8,0.15030075187969924,economy,9.903037451255743,11.798111925972616
456,Renault,Grand Scenic,18990,Zen Energy TCe 103kW (140CV) EDC,2018,46000,Gasolina,Manual,Badalona,7,0.41282608695652173,economy,9.851720461714244,10.736418414365374
461,Volkswagen,Scirocco,12990,1.4 TSI 122cv by R-Line,2013,113800,Gasolina,Manual,Mataró,12,0.11414762741652021,economy,9.472012088995733,11.64220658798198
462,Peugeot,Partner,14990,TEPEE Outdoor 1.6 BlueHDi 73KW (100CV),2017,87550,Diésel,Manual,Mataró,8,0.1712164477441462,economy,9.615205300012315,11.379976759693312
467,Renault,Grand Scenic,17490,Edition One Energy TCe 97kW (130CV),2017,47154,Gasolina,Manual,Viladecans,8,0.3709123298129533,economy,9.769441741907062,10.761195326977985
468,Renault,Talisman,14990,Limited Energy dCi 81kW (110CV),2018,41368,Diésel,Manual,Viladecans,7,0.3623573776832334,economy,9.615205300012315,10.630287087057916
470,Honda,CR-V,17990,1.6 i-DTEC 88kW (120CV) 4x2 Eleg Pl Nav,2016,63800,Diésel,Manual,Badalona,9,0.281974921630094,economy,9.79762691183662,11.063524143191236
472,Peugeot,308,9990,SW Active 1.6 BlueHDi 100 FAP,2015,116806,Diésel,Manual,Viladecans,10,0.08552642843689537,economy,9.209439966733019,11.668278279087291
474,BMW,Serie 3,20990,318dA Gran Turismo,2015,126000,Diésel,Automatica,Viladecans,10,0.1665873015873016,luxury,9.951849053414007,11.744045122410057
476,Honda,Civic,15490,1.0 I-VTEC TURBO COMFORT,2017,95694,Gasolina,Manual,Viladecans,8,0.1618701276987063,economy,9.648014489106362,11.468921329472174
477,Toyota,Yaris,10990,1.5 Hybrid Active,2016,97500,Híbrido,Automatica,Badalona,9,0.11271794871794871,economy,9.3048320350689,11.487617913343598
478,Porsche,Cayenne,38490,S Diesel,2017,162573,Diésel,Automatica,Esplugas,8,0.23675518074957097,performance,10.558179726714524,11.998888561711206
479,SEAT,Leon,28990,2.0 TSI 213kW (290CV) DSG-7 St&Sp Cupra,2020,9870,Gasolina,Automatica,Esplugas,5,2.937183383991895,economy,10.274740715974103,9.197356444417888
481,SEAT,Ibiza,13990,1.0 EcoTSI 85kW (115CV) FR,2018,82477,Gasolina,Manual,Esplugas,7,0.16962304642506396,economy,9.546169544733285,11.320286870094227
482,BMW,Serie 4,24490,430dA Gran Coupe,2017,178060,Diésel,Automatica,Hospitalet,8,0.1375379085701449,luxury,10.106060982105628,12.089881467196358
483,SEAT,Leon,12990,1.4 TSI 140cv St&Sp FR,2014,80500,Gasolina,Manual,Hospitalet,11,0.1613664596273292,economy,9.472012088995733,11.296024885689746
484,Renault,Scenic,23490,Zen Blue dCi 110 kW (150CV) EDC - SS,2020,13379,Diésel,Manual,Sabadell 3,5,1.7557366021376783,economy,10.064372648053764,9.501516333682218
485,Audi,A3,17490,2.0 TDI clean d 150CV S line edition,2016,113800,Diésel,Manual,Sabadell 3,9,0.15369068541300526,luxury,9.769441741907062,11.64220658798198
487,Renault,Clio,10990,Zen Energy TCe 66kW (90CV) -18,2018,55055,Gasolina,Manual,Sabadell 3,7,0.19961856325492688,economy,9.3048320350689,10.916106128037262
488,Ford,Focus,16990,1.0 Ecoboost 92kW ST-Line Auto,2019,62000,Gasolina,Automatica,Gavá,6,0.27403225806451614,economy,9.740439071085758,11.034905792929415
489,Ford,Fiesta,14990,1.0 EcoBoost 74kW Active S/S 5p,2019,21000,Gasolina,Manual,Gavá,6,0.7138095238095238,economy,9.615205300012315,9.952325334619427
490,Audi,A3,16490,design edition 1.6 TDI Sedan,2016,133000,Diésel,Manual,Gavá,9,0.12398496240601503,luxury,9.71057005652877,11.798111925972616
491,Ford,Kuga,15490,1.5 EcoBoost 110kW A-S-S 4x2 Trend+,2017,67517,Gasolina,Manual,Hospitalet,8,0.2294237006976021,economy,9.648014489106362,11.120149507978052
493,Volkswagen,Scirocco,14990,1.4 TSI 125CV R-Line BMT,2015,90083,Gasolina,Manual,Viladecans,10,0.166402095844943,economy,9.615205300012315,11.408497847361001
494,BMW,i3,20490,94ah,2018,90680,Eléctrico,Automatica,Viladecans,7,0.22595941773268638,luxury,9.927741044336832,11.41510313235069
495,BMW,Serie 4,25490,420d xDrive Automática Gran Coupe,2016,100192,Diésel,Automatica,Viladecans,9,0.2544115298626637,luxury,10.14608072767165,11.514853604913117
496,Toyota,C-HR,19990,1.8 125H Active,2018,49424,Híbrido,Automatica,Viladecans,7,0.40445937196503723,economy,9.903037451255743,10.808211648038817
497,Peugeot,208,9990,5P ACCESS 1.0L PureTech 68,2016,47658,Gasolina,Manual,Viladecans,9,0.20961853204079064,economy,9.209439966733019,10.77182676847709
499,Volkswagen,Scirocco,13990,2.0 TDI 177cv DSG,2013,125000,Diésel,Automatica,Granollers,12,0.11192,economy,9.546169544733285,11.736077016252437
501,Toyota,Auris,15490,1.8 140H Hybrid Active,2018,82800,Híbrido,Automatica,Granollers,7,0.18707729468599033,economy,9.648014489106362,11.324195417595107
503,SEAT,Altea,5990,1.6 TDI 105cv Style Ecomotive,2010,132699,Diésel,Manual,Gavá,15,0.045139752371909356,economy,8.698013622083925,11.795846220320298
504,Kia,Carens,9990,1.7 CRDi VGT 136CV Drive 5pl,2015,113299,Diésel,Manual,Gavá,10,0.08817377028923468,economy,9.209439966733019,11.637794447016097
506,SEAT,Leon,14990,ST 2.0 TDI 150cv 4Drive St&Sp X-perience,2015,122631,Diésel,Manual,Esplugas,10,0.12223662858494182,economy,9.615205300012315,11.716943279845943
507,Volkswagen,Tiguan,15990,T1 2.0 TDI 110CV BMT 4x2,2016,151500,Diésel,Manual,Granollers,9,0.10554455445544554,economy,9.679781342959442,11.928347504569842
508,Volkswagen,Multivan,34490,Premium Corto 2.0 TDI 110kW BMT DSG,2016,83000,Diésel,Automatica,Esplugas,9,0.4155421686746988,economy,10.448453699421849,11.326607934898927
510,Renault,Scenic,10490,Limited Energy Tce 115,2014,73196,Gasolina,Manual,Sabadell 1,11,0.14331384228646374,economy,9.258273025731485,11.200909715502995
511,Peugeot,2008,13470,Style 1.2L PureTech 81KW (110CV)S&S EAT6,2017,59283,Gasolina,Automatica,Sabadell 1,8,0.22721522190172563,economy,9.508294505698567,10.990094734076806
512,Audi,Q3,17180,1.4 TFSI 150cv S tronic Ambition,2014,130601,Gasolina,Automatica,Sabadell 1,11,0.131545700262632,luxury,9.751559401061966,11.779909809642891
513,BMW,Serie 3,19990,330d,2015,150000,Diésel,Automatica,Sabadell 1,10,0.13326666666666667,luxury,9.903037451255743,11.918397239722838
518,Peugeot,3008,20990,2.0BLUEHDI 110KW (150CV) GT LINE S&S,2017,64200,Diésel,Manual,Badalona,8,0.32694704049844237,economy,9.951849053414007,11.06977406588073
520,Peugeot,308,17990,GT Line PureTech 130 S&S EAT8,2019,68200,Gasolina,Automatica,Badalona,6,0.26378299120234605,economy,9.79762691183662,11.130214506480653
521,SEAT,Leon,19990,ST 2.0 TDI 110kW (150CV) DSG-6 St&Sp FR,2018,71520,Diésel,Automatica,Badalona,7,0.2795022371364653,economy,9.903037451255743,11.177746391852555
522,Renault,Captur,11990,Zen Energy TCe 90 eco2 Euro 6,2015,49100,Gasolina,Manual,Badalona,10,0.24419551934826883,economy,9.391911647379432,10.801634680173994
524,BMW,X2,30990,sDrive18d,2018,63166,Diésel,Automatica,Viladecans,7,0.4906120381217744,luxury,10.341452118734878,11.053537291867439
525,SEAT,Leon,24790,2.0 TSI 221kW (300CV) St&Sp CUPRA,2018,62147,Gasolina,Manual,Viladecans,7,0.39889294736672726,economy,10.118235963061956,11.037273916211891
527,Peugeot,3008,19990,1.5L BlueHDi 96kW (130CV) S&S GT Line,2018,114000,Diésel,Automatica,Sabadell 3,7,0.17535087719298245,economy,9.903037451255743,11.643962499267984
528,Peugeot,208,11490,5P STYLE S 1.6 BlueHDi 73KW (100CV),2017,78000,Diésel,Manual,Sabadell 3,8,0.1473076923076923,economy,9.349319399257633,11.264476926102367
529,Opel,Insignia,13490,GS 1.6 CDTi 81kW ecoTEC D Business,2017,110000,Diésel,Manual,Sabadell 3,8,0.12263636363636364,economy,9.509778075438817,11.608244735642321
530,SEAT,Ateca,19490,1.0 TSI 85kW (115CV) St&Sp Style Eco,2020,32000,Gasolina,Manual,Sabadell 3,5,0.6090625,economy,9.87770809954864,10.373522431293592
531,Volkswagen,Sharan,23990,Advance 2.0 TDI 150CV 4Motion BMT,2016,87000,Diésel,Manual,Sabadell 3,9,0.2757471264367816,economy,10.085434038999999,11.373674891823535
534,Lexus,IS,20490,2.5 300h Business,2018,91620,Híbrido,Automatica,Sabadell 3,7,0.22364112639161754,luxury,9.927741044336832,11.425415782028626
535,Peugeot,2008,19990,Allure Puretech 100 S&S BVM6,2020,23000,Gasolina,Manual,Sabadell 3,5,0.8691304347826087,economy,9.903037451255743,10.043292972227004
536,Ford,Focus,11990,1.0 Ecoboost Auto-St.-St. 92kW Business,2017,61901,Gasolina,Manual,Esplugas,8,0.19369638616500542,economy,9.391911647379432,11.03330776832843
538,Volkswagen,Golf,16990,Advance 2.0 TDI 150CV BMT,2016,21416,Diésel,Manual,Esplugas,9,0.7933320881583863,economy,9.740439071085758,9.97194027817057
542,Toyota,Land Cruiser,32990,2.8 D-4D VX,2016,52345,Diésel,Manual,Mataró,9,0.6302416658706658,economy,10.403990075979044,10.865630804592373
546,Toyota,Yaris,13490,1.5 Hybrid Active,2017,79648,Híbrido,Automatica,Mataró,8,0.1693702290076336,economy,9.509778075438817,11.28538476033157
547,Renault,Clio,8290,1.0  GASOLINA 90CV ,2013,102000,Gasolina,Manual,Sabadell 2,12,0.08127450980392156,economy,9.022925868116218,11.532737896139919
548,Hyundai,Tucson,16990,1.6 GDi Tecno 4x2,2018,53507,Gasolina,Manual,Viladecans,7,0.31752854766666044,economy,9.740439071085758,10.887586454415477
549,Kia,Rio,7990,1.2 CVVT 85cv Concept,2014,75830,Gasolina,Manual,Mataró,11,0.10536726889094027,economy,8.986071187374462,11.23626245900088
550,Volkswagen,Golf,23990,Life 1.5 TSI 96kW (130CV),2020,14722,Gasolina,Manual,Mataró,5,1.6295340307023503,economy,10.085434038999999,9.597166175865409
551,Kia,Sportage,21990,1.6 T-GDi 130kW (177CV) GT Line 4x4,2018,17228,Gasolina,Automatica,Mataró,7,1.276410494543766,economy,9.998388557730847,9.754349289532406
552,Kia,Ceed,12990,1.0 T-GDi 74 kW Concept Plus Eco-Dynam,2018,52127,Gasolina,Manual,Viladecans,7,0.2491990714984557,economy,9.472012088995733,10.86145751140177
553,BMW,Serie 1,13990,116d EfficientDynamics,2015,52407,Diésel,Manual,Granollers,10,0.26694907168889653,luxury,9.546169544733285,10.866814530411713
554,Porsche,Cayenne,22990,3.0 S Hybrid Tiptronic,2011,169227,Híbrido,Automatica,Gavá,14,0.1358530258173932,performance,10.042858113983936,12.039002197096758
555,Ford,Focus,10490,1.0 Ecoboost Auto-Start-Stop 100cv Trend,2014,93000,Gasolina,Manual,Mataró,11,0.11279569892473118,economy,9.258273025731485,11.440365524765754
556,Peugeot,2008,21790,Allure Pack BlueHDI 81kW (110CV),2021,2054,Diésel,Manual,Viladecans,4,10.60856864654333,economy,9.989252319496922,7.628031126930335
558,Renault,Megane,12490,Bose Energy dCi 96kW (130CV),2016,102782,Diésel,Manual,Viladecans,9,0.12151933217878617,economy,9.43276366396591,11.540375248678327
559,Ford,Fiesta,15490,1.0 EcoBoost 70kW (95CV) ST-Line S/S 5p,2019,6500,Gasolina,Manual,Gavá,6,2.383076923076923,economy,9.648014489106362,8.77971129020447
561,SEAT,Ibiza,8990,1.2 12v 70cv Reference ITech 30 Aniv,2015,28500,Gasolina,Manual,Sabadell 2,10,0.3154385964912281,economy,9.103979355984773,10.25769445336048
562,BMW,X3,30490,xDrive20d,2018,160816,Diésel,Automatica,Viladecans,7,0.18959556263058402,luxury,10.32518683708304,11.988022351531924
563,BMW,Serie 3,17990,318d,2016,91467,Diésel,Manual,Viladecans,9,0.19668295669476424,luxury,9.79762691183662,11.423744463318986
564,Kia,Ceed,13490,1.6 CRDi VGT 100kW (136CV) Drive,2018,72263,Diésel,Manual,Viladecans,7,0.18667921342872562,economy,9.509778075438817,11.18808135882968
565,Ford,Grand C-Max,15990,1.0 EcoBoost 92kW (125CV) Titanium,2019,59500,Gasolina,Manual,Sabadell 1,6,0.26873949579831935,economy,9.679781342959442,10.993748398115178
566,Peugeot,3008,11430,Style 1.6 BlueHDI 120 FAP,2016,94500,Diésel,Manual,Sabadell 1,9,0.12095238095238095,economy,9.344084242025778,11.456365695436427
567,Lexus,CT,17990,1.8 200h Business,2018,82167,Híbrido,Automatica,Sabadell 3,7,0.21894434505336693,luxury,9.79762691183662,11.31652121084564
568,Renault,Scenic,10520,Selection Energy Tce 115,2015,55000,Gasolina,Manual,Sabadell 1,10,0.19127272727272726,economy,9.261128538808288,10.915106645867501
569,Volkswagen,Polo,11990,Sport 1.2 TSI 90cv BMT by R-Line,2015,76490,Gasolina,Manual,Hospitalet,10,0.1567525166688456,economy,9.391911647379432,11.244928365834845
570,Opel,Corsa,10990,1.4 Color Edition 90 CV,2016,32200,Gasolina,Manual,Mataró,9,0.34130434782608693,economy,9.3048320350689,10.379752786950895
571,Renault,Clio,18990,RS Energy 147kW (200CV) EDC,2017,72000,Gasolina,Automatica,Sabadell 1,8,0.26375,economy,9.851720461714244,11.184435286790631
572,Kia,Sportage,15490,1.6 GDi 97kW (132CV) Emotion 4x2,2017,93232,Gasolina,Manual,Sabadell 1,8,0.16614467135747382,economy,9.648014489106362,11.442857015256344
575,Audi,A5,20970,Sportback 2.0 TDI clean 190CV quat S tro,2016,102000,Diésel,Automatica,Sabadell 1,9,0.20558823529411765,luxury,9.950895809931119,11.532737896139919
576,SEAT,Leon,18990,1.5 TSI 110kW (150CV) St&Sp FR,2019,51850,Gasolina,Manual,Sabadell 1,6,0.36624879459980714,economy,9.851720461714244,10.856129499874779
577,SEAT,Leon,21990,CUPRA 290 DSG,2017,93298,Gasolina,Automatica,Esplugas,8,0.23569637076893396,economy,9.998388557730847,11.443564668664383
578,BMW,Serie 1,14990,118d PACK-M,2015,116900,Diésel,Manual,Hospitalet,10,0.12822925577416594,luxury,9.615205300012315,11.669082701743504
579,Audi,Q3,22990,1.4 TFSI 150CV S tronic CoD,2016,101794,Gasolina,Automatica,Esplugas,9,0.22584828182407607,luxury,10.042858113983936,11.530716265978777
581,SEAT,Arona,13990,1.0 TSI 70kW (95CV) Style Ecomotive,2018,44979,Gasolina,Manual,Esplugas,7,0.311034038106672,economy,9.546169544733285,10.713973225513307
582,BMW,X4,23490,xDrive30d,2014,168900,Diésel,Automatica,Hospitalet,11,0.13907637655417407,luxury,10.064372648053764,12.037068023441478
583,Toyota,Verso,15990,1.6 130 Advance 5pl.,2018,71000,Gasolina,Manual,Hospitalet,7,0.2252112676056338,economy,9.679781342959442,11.170449240431308
584,Audi,A1,17990,Adrenalin 1.6 TDI 85kW (116CV) Sportback,2018,54900,Diésel,Manual,Hospitalet,7,0.3276867030965392,luxury,9.79762691183662,10.91328684226798
